preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 498.000,Trindade,52,2,0,1,,1,1,0,0,0,1,1,0,0
R$ 1.498.996,Itacorubi,101191,34,14,0,,25,0,0,0,0,0,0,0,0
R$ 850.000,Capoeiras,95,2,1,1,,2,1,1,1,1,0,1,0,0
R$ 1.780.000,Itacorubi,127,4,1,2,,3,1,0,1,1,0,1,1,1
R$ 639.000,Trindade,90,3,1,1,,3,0,0,0,0,0,0,0,0
R$ 477.000,Itacorubi,74,3,1,1,5,2,0,0,1,0,0,0,0,0
R$ 430.000,Estreito,74,3,1,1,,2,1,0,0,0,0,0,0,0
R$ 429.000,Estreito,58,2,0,1,,1,1,1,1,0,0,0,0,0
R$ 1.537.000,Agronômica,78257,23,23,13,,24,0,0,0,0,0,0,0,0
R$ 430.000,Estreito,74,3,1,1,5,2,1,0,0,0,0,0,0,0
R$ 890.000,Agronômica,75,3,1,2,,2,1,0,1,1,0,0,1,0
R$ 649.000,Itacorubi,72,2,1,1,4,,1,0,1,1,0,1,1,0
R$ 429.900,Estreito,73,3,1,1,,2,1,0,1,0,1,0,1,0
R$ 430.000,Canto,63,2,0,1,,1,1,0,1,0,0,0,0,0
R$ 1.638.553,Canto,124130,3,3,2,,4,0,0,0,0,0,0,0,0
R$ 430.000,Estreito,74,3,1,1,,2,1,0,0,0,0,0,0,0
R$ 1.057.366,Trindade,68,2,1,1,3,2,0,0,1,0,0,1,1,1
R$ 640.000,Agronômica,94,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 1.383.000,Estreito,155,4,3,2,,4,0,0,0,0,0,0,0,0
R$ 1.235.000,Estreito,110,3,3,2,4,4,1,0,1,1,1,0,1,1
R$ 1.200.000,Itacorubi,80,3,1,2,3,2,0,0,1,0,1,1,1,1
R$ 860.000,Trindade,82,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 550.000,Canto,99,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 1.220.000,Jardim Atlântico,94,,1,2,,2,1,0,1,1,1,1,1,1
R$ 830.000,Itacorubi,65,2,1,1,,2,1,1,0,1,0,1,1,1
R$ 1.100.000,Canto,104,3,1,2,7,2,1,0,1,0,0,0,1,0
R$ 758.000,Trindade,4681,12,0,1,,13,0,0,0,0,0,0,0,0
R$ 1.260.000,Agronômica,70,2,2,1,,3,0,0,0,0,1,1,0,1
R$ 2.137.516,Agronômica,101,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,69,2,1,1,5,2,0,0,0,0,0,0,0,0
R$ 790.000,Canto,84,2,1,1,,2,1,1,1,0,0,0,0,0
R$ 770.000,Itacorubi,65,2,1,1,,2,1,1,1,1,1,0,1,1
R$ 1.450.000,Agronômica,111,3,3,3,,4,0,0,1,1,1,0,1,1
R$ 999.000,Agronômica,105,3,1,1,,2,1,0,1,1,1,1,1,1
R$ 670.000,Itacorubi,62,2,0,1,6,1,1,0,1,1,1,1,1,1
R$ 2.850.000,Estreito,132,3,3,3,9,4,1,1,1,1,1,1,1,1
R$ 650.000,Capoeiras,65,2,1,2,,2,0,0,0,0,0,0,0,0
